"","Datetime","Country","Biomass","Fossil.Brown.coal.Lignite","Fossil.Coal.derived.gas","Fossil.Gas","Fossil.Hard.coal","Fossil.Oil","Fossil.Peat","Geothermal","Hydro.Pumped.Storage","Hydro.Run.of.river.and.poundage","Hydro.Water.Reservoir","Nuclear","Other","Other.renewable","Solar","Waste","Wind.Offshore","Wind.Onshore"
"1",2021-01-01,"CTA|National Grid",1644563.5,0,0,11060766,1173731.5,0,0,0,188393.5,346469,0,4259226.5,180467.5,0,236377,0,2640060.5,2101747.5
"2",2021-02-01,"CTA|National Grid",1540377.5,0,0,7861920,584732,0,0,0,148138,283702.5,0,3256945.5,133274,0,460128.5,0,2665864.5,2994675
"3",2021-03-01,"CTA|National Grid",1966458,0,0,9362712.5,284440.5,0,0,0,149076.5,362156,0,3315875.5,145358,0,847179,0,2432354,2683720.5
"4",2021-04-01,"CTA|National Grid",1375948,0,0,10313727,190562.5,0,0,0,171949,319674.5,0,3576241.5,147569.5,0,1488150.5,0,1656172,1586350
"5",2021-05-01,"CTA|National Grid",1662708.5,0,0,9186996.5,171632.5,0,0,0,127330,212896.5,0,3389718.5,142855,0,1359506.5,0,1673054.5,1814107
"6",2021-06-01,"CTA|National Grid",342758.5,0,0,1638817.5,0,0,0,0,22197,28155.5,0,854920,21820.5,0,346647,0,226287.5,289705.5
"7",2021-07-01,"CTA|National Grid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2021-08-01,"CTA|National Grid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2021-09-01,"CTA|National Grid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2021-10-01,"CTA|National Grid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2021-11-01,"CTA|National Grid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2021-12-01,"CTA|National Grid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
