"","Datetime","Country","Biomass","Fossil.Brown.coal.Lignite","Fossil.Coal.derived.gas","Fossil.Gas","Fossil.Hard.coal","Fossil.Oil","Fossil.Peat","Geothermal","Hydro.Pumped.Storage","Hydro.Run.of.river.and.poundage","Hydro.Water.Reservoir","Nuclear","Other","Other.renewable","Solar","Waste","Wind.Offshore","Wind.Onshore"
"1",2016-01-01,"CTA|National Grid",0,0,0,10091482,4684639,0,0,0,275437.5,506790,0,5650137.5,1484275.5,0,196756,0,1869233.5,2269749.5
"2",2016-02-01,"CTA|National Grid",0,0,0,9044286,4882883,0,0,0,247894,461666,0,5207601,1346705,0,428423,0,1433030.5,1932302
"3",2016-03-01,"CTA|National Grid",0,0,0,10785890,4107867.5,0,0,0,268657.5,365057,0,5261820,1469749,0,781079,0,972397.5,1389454.5
"4",2016-04-01,"CTA|National Grid",0,0,0,10916016.5,1754657.5,0,0,0,243177.5,248886.5,0,4986476,1368946,0,994528.5,0,953311.5,1482788
"5",2016-05-01,"CTA|National Grid",0,0,0,9718952,893466,0,0,0,223415,182648,0,5191388,1419676.5,0,1317059,0,985418,1385536
"6",2016-06-01,"CTA|National Grid",0,0,0,9932331.5,1399876.5,0,0,0,232157,95690.5,0,5374887.5,1076819.5,0,1136152.5,0,546257,872908.5
"7",2016-07-01,"CTA|National Grid",0,0,0,9547058.5,769836,0,0,0,220267.5,204661.5,0,5888000,779679,0,1270773,0,762387.5,1266468.5
"8",2016-08-01,"CTA|National Grid",0,0,0,9393290.5,507872,0,0,0,243958.5,236241,0,5804951.5,744140.5,0,1228805,0,883827,1381396
"9",2016-09-01,"CTA|National Grid",0,0,0,9881663.5,984373,0,0,0,234833.5,254354,0,5694720,940899,0,857995,0,818131,1488409.5
"10",2016-10-01,"CTA|National Grid",0,0,0,12425216,1873177,0,0,0,278724.5,226352,0,5636013.5,848778.5,0,654011,0,904031,1282204.5
"11",2016-11-01,"CTA|National Grid",0,0,0,12586498,3062219.5,0,0,0,272476.5,210785,0,5810234.5,1153221,0,384281.5,0,1191997.5,1545093
"12",2016-12-01,"CTA|National Grid",0,0,0,12347365,2943475.5,0,0,0,270591.5,373415,0,5909163.5,1483648,0,238089.5,0,1133497,2135890
"13",2017-01-01,"CTA|National Grid",0,0,0,13054720.5,4659091,0,0,0,291294.5,529536,0,5417180,1512449,0,292856.5,0,1118654,2033712
"14",2017-02-01,"CTA|National Grid",0,0,0,9339969.5,3459867.5,0,0,0,245195,457440.5,0,5370938.5,1382292.5,0,370904.5,0,1282170,2309648
"15",2017-03-01,"CTA|National Grid",0,0,0,10517749,1446582.5,0,0,0,260286,612765,0,5480002.5,1482925,0,877681.5,0,1325152.5,2145014.5
"16",2017-04-01,"CTA|National Grid",0,0,0,9887162.5,393379,0,0,0,230812.5,180495,0,5032747.5,1183199,0,1247236.5,0,853175,2011677.5
"17",2017-05-01,"CTA|National Grid",0,0,0,9446546,473935.5,0,0,0,240316,118551.5,0,5635643,1465993,0,1382910,0,906509.5,1539578.5
"18",2017-06-01,"CTA|National Grid",0,0,0,8185073,428291,0,0,0,225837,143884,0,5828815.5,853909.5,0,1357324.5,0,1038170,1870610.5
"19",2017-07-01,"CTA|National Grid",0,0,0,8664804,412146.5,0,0,0,247334.5,164165,0,5418226,1315081,0,1374646.5,0,812433,1584435.5
"20",2017-08-01,"CTA|National Grid",0,0,0,7906736,454798.5,0,0,0,194079,249206.5,0,5723487,1321559.5,0,1214074,0,870197,1602371.5
"21",2017-09-01,"CTA|National Grid",0,0,0,8828036,1016874,0,0,0,202010.5,293173.5,0,5511985,745448,0,832590,0,1245527.5,1901689
"22",2017-10-01,"CTA|National Grid",0,0,0,9937298.5,885981,0,0,0,264874,388050.5,0,5534398,687462.5,0,548528,0,1856825.5,2705203.5
"23",2017-11-01,"CTA|National Grid",1042031.5,0,0,11118033.5,3021278.5,0,0,0,246308.5,381722,0,4860699,95454.5,0,384010,0,1574130,2461611.5
