"Datetime","AT","DE","DK","ES","FI","FR","GB","IE","IT","NIR","NL","NO"
"2019-01",149684.358050092,290961.073577375,201847.544198836,171647.810466071,183043.93828451,46246.780645731,209590.003175063,275784.401314759,281442.179591849,349047.464415214,369352.796495901,19033.5397753231
"2019-02",138871.650516151,266026.292644064,156888.79107732,139423.503044549,141863.890639422,32814.4170104759,166844.071806914,188639.745123682,224964.711984698,330086.14118148,340146.853730457,13267.5732909492
"2019-03",85998.6916136966,214726.264987639,138876.573950294,104580.454839509,138000.365027063,23760.8232488316,172711.240471573,252631.403146132,244041.225811124,339089.61751853,322809.467903918,21556.7996757988
"2019-04",65271.2061433196,245220.613887457,140795.45381629,112290.346905542,106531.245327922,19113.2015070953,174573.422380834,258283.341682042,235716.57989823,305394.359025484,305655.33071847,17182.0060835317
"2019-05",32213.8692066887,253740.86624646,96841.8777595972,120859.908528483,87083.254126094,16321.3944068086,186000.029074772,296643.29250006,211043.329901158,320463.684762199,304031.009099477,15941.2876610749
"2019-06",33271.6846221444,215401.995972822,44729.522786484,136725.368900565,51367.3459603153,15274.7067416013,180649.877571165,285177.778539689,200021.715873231,327707.488209895,272791.430412395,10921.9989608808
"2019-07",71237.6879899551,253517.580530229,62585.3659344212,159818.532497083,54602.2746759165,26356.9525242443,186757.019659187,280278.89577127,227551.035967469,270584.011469617,290628.561902912,12004.8142196196
"2019-08",68947.7901608433,251322.035482655,107181.261639315,156246.338129595,58203.6099264391,20945.6061112475,NA,243454.069778317,232239.632652859,NA,262611.613567517,13413.679849739
"2019-09",98802.7290778756,229076.847907782,75199.7159648471,137845.614058736,97687.2595867546,27445.7777546913,148072.167525493,251176.131878754,243272.562456238,263336.157181624,253318.55166488,9215.91543850639
"2019-10",142624.537418124,247783.665924239,121286.96483496,156555.839198479,126687.186753077,29876.8841290678,161872.650660504,233069.888671738,263068.677017266,311004.243970502,322003.846809921,12956.940997844
"2019-11",117663.862651909,296935.723514442,153137.087599254,112552.769674285,127048.876545257,49786.0087924344,184035.222393502,254480.204116257,225726.974254625,346056.388580193,360291.209996198,16627.4795948883
"2019-12",123883.191232281,221275.810288232,135908.948065674,94858.6577144414,122906.251933855,34037.4975246283,159763.530699762,221038.085219234,221327.881527437,304144.399097888,330280.612349058,19104.738141271
"2020-01",166238.193199403,238513.592030068,104944.422872491,113878.186765936,110621.962148384,37585.8045030333,158841.12598857,207567.336421454,247497.297269269,303054.705167736,299695.36930373,10587.3741484591
"2020-02",87083.7034450696,147960.696610276,110154.736350416,100192.146873596,102856.187492863,25614.3594633025,141953.592396175,141245.746074754,213401.372765214,312053.700198756,250841.988994876,9744.28855840383
"2020-03",92646.5298620152,190487.37364216,111900.274950985,77794.370536915,92471.67560311,27021.1491880049,144934.782189625,203243.819359866,219873.210494522,317947.254327532,272560.431068141,8547.43543454811
"2020-04",44573.9339002903,155591.273110798,79907.6353426816,82565.3572087901,83534.114700477,7548.19713211835,125648.274336421,269195.216108977,198611.983243384,256745.410395418,236504.872711947,8288.75536245156
"2020-05",18579.5356767326,174566.831250534,81938.4975429824,87824.7143084143,64956.3459055351,13645.7694246283,151406.895423238,240390.772496332,182116.81818519,311563.845256908,261256.388492261,7582.27199747935
"2020-06",15137.0247848008,202463.467725423,117940.045115752,112619.728527252,58995.2082934041,27429.1104233941,148099.824013167,242203.399066173,192619.015140781,320238.170410004,278506.94113584,7708.30102353967
"2020-07",41024.2260520669,220695.659348877,66703.7722938405,127231.27142773,31309.665381664,35202.8956464251,162525.69907075,233450.303909546,221781.794890352,322665.887373325,295993.963420396,6903.76558729859
"2020-08",44680.812275664,244794.448765126,104793.495277606,124357.327634209,53294.8144958673,32938.2996596962,166857.376210668,263120.403523499,226668.415537212,322185.655076521,291714.725289606,6354.24573409524
"2020-09",46762.0180284107,264975.283710887,65180.0512323388,120680.519969055,70678.4281504449,42884.7194219573,140248.073384443,239047.850168048,230684.386896209,309745.026293333,292533.038723627,3953.48635233878
"2020-10",74093.0099171736,247952.052406413,66378.8852833472,95108.4920084098,90148.9645398043,25743.0039103104,158220.169598805,204771.70461429,217051.84518983,311564.409846351,280423.049892244,987.790692341228
"2020-11",119707.302330833,279989.127536211,90505.0019766594,106025.418135392,78611.5545248237,36121.9867948166,156780.799539305,224117.129635024,238983.611945647,307313.726321037,287035.905313597,2594.86196709168
"2020-12",133714.611383989,270958.550409027,115573.320060936,79740.1629673487,107582.423005959,39649.1905186239,155295.015975177,204527.594671107,234411.541449851,351446.348793835,301247.786620165,2030.97100067027
