"Datetime","AT","DE","DK","ES","FI","FR","GB","IE","IT","NIR","NL","NO"
"2019-01",116770.85288909,292799.842079353,220130.341355644,177044.997867623,212113.100323902,40793.2101972667,211929.529897654,285802.161845762,291199.982939274,418936.372141594,387762.355348075,10166.9004387497
"2019-02",107115.554478295,270819.244305567,173224.838536502,149340.98610946,162179.596113025,31253.4607555194,169136.489446988,191721.237476706,240513.60631934,358992.441462739,352872.561435131,6342.662741867
"2019-03",60163.57416595,221200.804718534,150723.766194309,112770.587887627,155901.504798724,22990.6194732633,177681.279146494,259700.858776364,260910.538229793,391278.503820834,345265.448666214,8390.775779708
"2019-04",46410.9531056756,252207.596066433,159967.243029508,119214.071593008,120754.575134248,17332.1989419114,176126.675500565,264299.477059536,248452.582929805,344546.286561499,330974.566585034,9239.23781920378
"2019-05",16664.6387668661,268172.812245616,100664.407892467,127033.831405553,101707.113773366,16138.4059894834,193386.088633434,301388.04595026,226715.280911031,359076.123107955,327863.550210077,9509.52672013856
"2019-06",20587.1488866526,233119.462200655,86628.2268512087,141884.376093472,61940.3505827806,15153.7832301949,186750.198005093,288692.998702285,213523.722822782,343923.805232103,315221.780421768,9703.53950748131
"2019-07",50411.9565802008,268284.341531521,95766.5063075547,164727.515517746,70799.7393012077,25671.8176013226,193782.331300851,289415.789220969,242173.110319385,334400.21761666,324345.316573225,9041.01772977992
"2019-08",50359.1030883497,267121.477592847,120143.065276195,162778.242720882,74092.5455283717,20405.9039486078,162792.866541977,251057.173959952,243265.449320235,333443.028304514,298651.361036492,8916.28370601654
"2019-09",74790.1559165139,241305.88150049,87190.5153635404,143165.239688358,128371.523900448,25842.7268287334,152142.93980189,260982.573394602,257466.083369366,324996.917926427,286596.648501355,7631.44803363662
"2019-10",117629.28066924,253627.482717878,118776.08712227,164089.386575247,155459.509513852,27699.5416878884,163472.629113336,239623.154950511,279121.024913096,356071.700708001,341507.954093104,7594.83363212056
"2019-11",97835.2261345651,302213.468963475,155831.707746513,113589.246619645,153985.487979112,44929.7748013005,185790.869636269,261363.715727894,235205.239314772,398253.828253424,380048.627684627,6755.64490722345
"2019-12",107807.527224078,228414.144928057,149224.761094663,96511.9528416815,142341.555583986,31379.3252841749,162469.462015548,227523.619150724,234450.898501034,357132.833575037,368147.860022265,8117.21008154999
"2020-01",148511.378823961,246744.621386156,129925.755028726,118655.336754499,128340.763875645,35906.7584734994,160698.547001166,214066.664044231,261821.894140013,359147.197213703,324038.873748207,7970.8953350417
"2020-02",75994.1843636573,153029.433659813,136394.858063474,105358.842815815,123792.660791218,25204.9294672735,146184.480102511,143302.137543044,231506.936790511,341201.087600849,277661.429999795,7620.72493560575
"2020-03",79304.9590569455,198659.064353902,162801.246775839,81403.4414666734,112813.250081181,26130.4116092406,149383.219871653,207739.517519746,239574.699874664,373334.706553976,309738.047876443,7524.19451249419
"2020-04",34564.8290346305,167039.218718767,134040.008794943,87825.4225388832,104837.827731459,6418.34061177284,130111.563599604,280630.647991278,208915.277223802,340754.29496578,280110.840633462,7716.87862712874
"2020-05",8681.31607877238,184459.740269581,130204.060694502,94610.2631810651,81903.6347165703,12721.7997308143,155957.205399,242812.781093681,192585.088913419,350727.823459071,302301.149506931,6783.74232640699
"2020-06",8387.10473222608,213409.489393931,150640.098822703,118286.7427553,71210.6233214274,25211.8977094021,150258.697484163,245339.14156127,197046.702270482,352762.361884199,299368.191097736,7543.38946556229
"2020-07",29306.1275870059,231160.489431991,130810.298901071,130703.375357007,38380.2748001387,29712.0851421455,161661.014092045,235824.254966641,231691.996047028,341540.044360389,314717.458196221,6632.43774688163
"2020-08",29482.0718969882,251598.072944406,171840.832825342,127785.082582743,67138.6240194577,28563.1812820782,169212.153096177,266394.385913042,233650.070153639,349736.042474615,308922.650724627,6336.14685847133
"2020-09",29461.1482220063,272692.125041692,118741.7205681,122094.419867964,86988.9912916515,34307.557655243,139189.168657707,244151.387074647,236941.365166109,350476.49344411,317215.102085996,3896.25301579503
"2020-10",52060.1057701527,254743.240956626,108995.963980087,98308.7490297603,113476.173988761,22359.5292342056,159768.448432532,209795.097755858,231720.697183926,358697.643438924,304431.409867313,665.059068325338
"2020-11",83798.5846073021,290080.989443478,134462.08786993,110043.268241865,91778.6931945413,33998.941651838,159305.075949005,228468.315566155,256974.872472233,349847.868056858,306822.207923796,1893.26849661883
"2020-12",105626.457041795,280059.420013233,183277.549677392,81442.390433392,130660.616095731,35834.5915154574,157971.239670193,209345.10195158,247219.474072084,395699.151724505,326935.070594596,1410.57132458085
