Datetime,GB,AT,BE,DE,DK,ES,FI,FR,IE,IT,NIR,NL,NO,SE
2016-01-01,27028500.5,8264210.5,4002064.5,98531820.5,1643767.5,10697871,3438889.5,27237675,2366262.5,10370018,463042,17158901,8216848.5,7834675.5
2016-02-01,24984790.5,9656160,3576776.5,91743008,1349880.5,10147448.5,2940644,25397090,2221128.5,9603248.5,423571,15764937.5,7067604.5,7404598.5
2016-03-01,25401972,8550807.5,3738860.5,93516501,1272299,10843815,3026201.5,25508538,2252456,9901979.5,387665,16396703.5,7191627.5,7217802
2016-04-01,22948788,9145598.5,3361015,84575068.5,1203092.5,10208430,2680043.5,21191038,2241923,9248349.5,387091,14399657,5850015,6412758.5
2016-05-01,21317558.5,9951289.5,2991500,82798275,923795,9547381,2274181.5,19873781.5,2132588,9853826,364914,13544388,5627323.5,5602095
2016-06-01,20667080.5,10521079.5,2894607,78248522,768250.5,9553559,2129579,19478534.5,2095742.5,10137545.5,317041,13047010.5,5415677,4388727
2016-07-01,20709131.5,10730407.5,3207808.5,85373443,876017,10625704.5,2178659,18942390,2274259.5,11491997,312315,13288476,5018271.5,4665366.5
2016-08-01,20424482,9817705,3455941,86728218.5,988363,10181104.5,2275608,17784371,2179360,10099180,342654.5,14429801.5,5092741.5,4902581.5
2016-09-01,21155378.5,8200073.5,3013626.5,87774505,831741,9799068,2190588,17902271,1958513,10783183.5,344583.5,16577690,5258986.5,5189203
2016-10-01,24128508,9155872.5,3095817.5,91240278,1342344,10121171.5,2785555.5,19293953,2103087.5,10830007.5,367445.5,18473496,6055046.5,5802618
2016-11-01,26216806.5,9998756,3337820.5,96861485.5,1536339,10207904,3054602,22314715.5,2348882,11197862.5,416002,18172577,6581009.5,6283411
2016-12-01,26835135,10068472,3721742,93863054,1531113,10290532,3046029.5,25328655,2425082.5,11675587.5,466096.5,19229856,7036283.5,7090099.5
2017-01-01,28909493.5,10938387,3827974,101024379,1484870,11934070,3202602.5,28301678,2614963.5,12479085,441046,20068633,7657053,8035396.5
2017-02-01,24218426,8587165,3416885.5,91925343.5,1559238,9834423,2908872.5,23635925.5,2364758.5,10092645,413928.5,17300110.5,6592072,7055924.5
2017-03-01,24148158.5,9840630.5,3547922,94655518,1543377,9870914,3072662.5,24430910,2432861.5,9802388.5,417300.5,16541627,6417947.5,7391134.5
2017-04-01,21019884.5,8858635,2742517,85494203.5,1309032,8995822.5,2483957,21031164,2102075,9423583.5,403089,14982824,5767772,6580877.5
2017-05-01,21209983,9779905,2938738,87468629.5,1008213,9382285,2347161,20428576.5,1977958,10186258,402936.5,13913896.5,5547224.5,5983399.5
2017-06-01,19931915,8596068,3300094.5,86204980.5,936697,10304179.5,2030791,18474598,1926611,11332173.5,397853.5,14167451,5326262.5,5115277.5
2017-07-01,19993272,9396292,3587373,84469895,778909.5,10636739,2066836.5,19232190,1931258,11898767,406821,15732467.5,5210197,5373313.5
2017-08-01,19536509,10241299,3503132.5,84754369,828779,10064280,2085386,18345112.5,1987880,11018637,409313.5,13329977.5,5488489,5192288
2017-09-01,20577333.5,10690286.5,3281500.5,85428337,865716.5,9456517.5,2292708,19054977.5,2027893,10242994.5,414066,14257067.5,5072712,5190441.5
2017-10-01,22808621.5,9916847.5,3382721,95023559.5,1293987,10029254.5,2625809.5,19516044,2169966,10380719,470621,17115813.5,6170207.5,6095662.5
